FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
A2V-16_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
     491.2         5.296e-04       1.1      1.01     yes
    2467.0         5.348e-04      11.6      1.15     NO*
    2332.0         5.352e-04       2.0      1.02     yes
    1884.0         5.372e-04       2.0      1.03     yes
    2220.0         5.385e-04       1.6      1.00     yes
    1222.0         5.394e-04       1.7      1.19     yes
    1115.8         5.408e-04       1.3      1.17     yes
    2085.0         5.415e-04       1.0      1.16     yes
     360.2         5.434e-04       1.6      1.03     yes
     270.0         5.446e-04       2.3      1.00     yes
     919.0         5.447e-04      19.3      1.18     NO*
    2109.8         5.449e-04       2.2      1.07     yes
     527.0         5.456e-04       3.0      1.20     yes
     672.0         5.483e-04      12.3      1.16     NO*
    2062.0         5.485e-04       3.2      1.02     yes
    2383.2         5.513e-04       9.6      1.15     NO*
     718.0         5.566e-04       1.4      1.08     yes
     471.0         5.584e-04       1.2      1.02     yes
     739.8         5.585e-04       0.8      1.03     yes
     857.2         5.636e-04       1.2      1.00     yes
     655.2         5.683e-04       1.2      1.00     yes
    2310.2         5.689e-04       0.9      1.04     yes
    1331.2         5.719e-04       1.5      1.04     yes
     874.5         5.736e-04       1.4      1.03     yes
     965.0         5.762e-04       5.3      1.06     yes
    2156.2         5.796e-04       0.6      1.00     yes
    2131.0         5.805e-04       1.9      1.06     yes
    1294.8         5.843e-04       1.4      1.00     yes
    1077.0         5.844e-04       3.0      1.04     yes
     313.0         5.854e-04       1.2      1.02     yes
    2028.8         5.862e-04       1.7      1.04     yes
     784.0         5.885e-04       1.2      1.09     yes
    1755.2         5.895e-04       0.9      1.00     yes
    1188.8         5.918e-04       1.0      1.13     yes
    2240.8         5.923e-04       1.5      1.15     yes
     560.8         5.941e-04       1.2      1.06     yes
     986.5         5.954e-04       1.2      1.00     yes
    2489.2         5.968e-04       0.9      1.05     yes
    1306.2         5.983e-04       0.9      1.00     yes
    1367.0         6.008e-04       1.3      1.06     yes
     242.8         6.018e-04       1.2      1.00     yes
     290.8         6.044e-04       1.4      1.00     yes
    2358.2         6.153e-04       1.0      1.07     yes
     336.0         6.154e-04       1.5      1.10     yes
    1955.8         6.158e-04       0.5      1.00     yes
    1944.2         6.172e-04       0.5      1.00     yes
     206.2         6.174e-04       2.1      1.00     yes
    1278.0         6.253e-04       7.6      1.03     NO*
     809.2         6.274e-04       1.5      1.07     yes
    1031.0         6.291e-04       8.8      1.09     NO*
    1057.8         6.302e-04       0.9      1.00     yes
     608.8         6.314e-04       1.9      1.03     yes
     583.0         6.324e-04       3.7      1.29     yes
    2441.2         6.349e-04       1.0      1.01     yes
     633.8         6.410e-04       1.5      1.27     yes
     892.2         6.450e-04       0.6      1.00     yes
    1094.2         6.459e-04       1.2      1.00     yes
    1389.2         6.472e-04       1.0      1.00     yes
     940.2         6.531e-04      19.3      1.03     NO*
     224.0         6.610e-04       1.2      1.03     yes
     179.5         6.631e-04       0.9      1.11     yes
    1919.2         6.667e-04       3.5      1.05     yes
    1166.0         6.777e-04       1.3      1.13     yes
     135.0         6.793e-04       2.9      1.00     yes
    1413.0         6.896e-04       1.7      1.05     yes
    1838.0         7.010e-04       0.8      1.05     yes
     691.8         7.062e-04       4.6      1.00     yes
     159.8         7.150e-04       1.1      1.00     yes
    1973.0         7.154e-04       1.7      1.08     yes
     112.0         7.295e-04       2.9      1.02     yes
      88.8         7.339e-04       1.4      1.08     yes
    1992.2         7.399e-04       0.9      1.00     yes
     194.8         7.482e-04       0.9      1.00     yes
    1772.0         7.540e-04       1.4      1.16     yes
    1637.0         7.845e-04       2.2      1.06     yes
    1569.5         7.919e-04       2.3      1.06     yes
    1743.8         8.148e-04       1.2      1.00     yes
    1791.8         8.317e-04       1.2      1.04     yes
    1813.2         8.369e-04       1.0      1.08     yes
      63.8         8.683e-04      16.7      1.03     NO*
      42.2         8.747e-04       0.8      1.00     yes
    1660.8         9.813e-04       3.1      1.00     yes
    1436.0         9.889e-04       2.9      1.02     yes
    1543.2         1.019e-03       1.1      1.00     yes
    1589.8         1.059e-03       2.1      1.19     yes
    1614.0         1.157e-03       1.7      1.02     yes
    1681.5         1.386e-03       1.6      1.26     yes
    1726.0         1.417e-03       1.8      1.06     yes
    1707.2         1.511e-03       1.5      1.00     yes
    1525.0         1.670e-03       2.7      1.03     yes
      27.2         2.071e-03       1.6      1.00     yes
    1458.8         3.030e-03       2.5      1.00     yes
    1506.8         4.329e-03       1.0      1.00     yes
    1479.0         5.239e-03       2.1      1.02     yes
    1861.2         1.340e-02      26.7     33.59     NO*
  consensus floor = 6.153e-04 mV^2/Hz over 95 clean bands  ->  Var(n) = 0.0025 mV^2  (RMS 49.6 uV)
  carrier a = 161.021 mV  ->  SNR = 67.2 dB in the 4 Hz demod band

========================================================================
A2V-16_3
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
     857.2         5.255e-04       1.0      1.00     yes
    2286.0         5.391e-04       4.4      1.09     yes
    1057.8         5.537e-04       1.9      1.00     yes
    2264.5         5.652e-04       2.9      1.08     yes
     655.2         5.729e-04       1.7      1.00     yes
     809.2         5.888e-04       1.5      1.05     yes
     313.0         5.983e-04       1.1      1.07     yes
    2358.2         5.997e-04       1.5      1.08     yes
    1115.8         6.052e-04       1.7      1.06     yes
     560.8         6.061e-04       1.3      1.14     yes
     761.2         6.064e-04       9.3      1.01     NO*
    1222.0         6.140e-04       1.7      1.08     yes
     471.0         6.143e-04       1.4      1.07     yes
     965.0         6.153e-04       3.5      1.07     yes
    2131.0         6.225e-04       2.1      1.07     yes
    1306.2         6.246e-04       1.5      1.00     yes
    2240.8         6.248e-04       1.7      1.06     yes
    2220.0         6.274e-04       1.5      1.24     yes
    1992.2         6.295e-04       1.2      1.00     yes
    1077.0         6.308e-04       2.3      1.04     yes
     739.8         6.319e-04       1.2      1.00     yes
    2192.8         6.347e-04       1.2      1.00     yes
    2085.0         6.395e-04       1.0      1.03     yes
     159.8         6.423e-04       2.8      1.31     yes
    1009.8         6.426e-04       1.0      1.05     yes
     179.5         6.428e-04       2.2      1.10     yes
     491.2         6.435e-04       1.1      1.00     yes
    1094.2         6.444e-04       0.5      1.00     yes
    2109.8         6.447e-04       1.4      1.08     yes
     986.5         6.507e-04       1.0      1.03     yes
     270.0         6.553e-04       1.2      1.00     yes
    2441.2         6.560e-04       0.9      1.02     yes
