timestamp,BPW34_1,BPW34_2,Inano_1,Inano_2
2187900915,287,205,353,366
2187901582,240,112,298,326
2187902249,196,91,287,302
2187902917,196,87,283,305
2187903582,194,92,270,309
2187904249,288,196,342,365
2187904917,257,145,306,317
2187905582,197,88,272,285
2187906249,201,86,271,303
2187906917,188,86,286,299
2187907582,274,191,314,324
2187908249,282,179,319,330
2187908915,193,86,273,287
2187909582,195,93,282,307
2187910249,193,90,280,325
2187910915,267,175,311,321
2187911582,288,197,331,359
2187912249,192,88,278,305
2187912915,192,90,276,295
2187913582,198,92,277,325
2187914249,241,141,309,327
2187914915,285,201,350,357
2187915582,216,117,295,322
2187916249,194,86,284,315
2187916915,189,80,287,318
2187917582,219,116,300,323
2187918249,286,199,354,373
2187918915,247,143,312,324
2187919582,193,85,287,306
2187920249,192,91,276,310
2187920915,194,95,276,301
2187921582,278,188,330,349
2187922249,261,172,314,325
2187922915,189,81,272,285
2187923582,193,88,278,302
2187924249,193,88,273,304
2187924915,260,172,300,319
2187925582,285,195,321,349
2187926249,203,84,268,299
2187926915,192,87,282,293
2187927582,195,90,277,315
2187928249,242,146,308,326
2187928915,288,198,351,345
2187929582,215,116,290,312
2187930249,192,89,274,301
2187930915,192,87,282,298
2187931582,217,113,290,319
2187932249,288,204,352,361
2187932915,241,142,305,317
2187933582,192,84,289,313
2187934249,192,95,287,318
2187934916,197,93,283,313
2187935582,291,200,350,364
2187936250,264,175,329,350
2187936915,188,87,278,297
2187937582,190,84,272,301
2187938250,192,88,276,320
2187938915,276,189,314,337
2187939582,274,191,322,350
2187940249,195,85,271,295
2187940916,198,86,275,293
2187941582,192,95,278,302
2187942249,258,170,308,317
2187942915,286,196,346,352
2187943582,194,92,281,307
2187944249,192,93,280,304
2187944915,192,89,274,292
2187945582,238,142,302,325
2187946249,288,205,350,360
2187946915,216,114,286,313
2187947582,194,84,270,300
2187948249,195,85,283,311
2187948915,208,114,285,315
2187949582,288,199,355,380
2187950249,240,140,312,331
2187950915,193,89,277,301
2187951582,192,88,280,309
2187952249,192,89,286,323
2187952915,276,191,326,350
2187953582,262,172,314,328
2187954249,196,88,266,294
2187954915,197,87,278,296
2187955582,190,80,277,302
2187956249,262,173,314,323
2187956915,276,187,315,324
2187957582,192,99,267,293
2187958249,190,81,275,301
2187958915,193,84,282,298
2187959582,237,142,310,321
