FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
BPW34_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    1331.2         3.142e-04      13.0      1.16     NO*
    1057.8         3.223e-04       2.9      1.00     yes
    2441.2         3.283e-04       3.9      1.16     yes
     874.5         3.306e-04       3.7      1.04     yes
     830.0         3.464e-04       4.2      1.18     yes
    1140.8         3.482e-04       4.6      1.19     yes
    2332.0         3.522e-04       1.6      1.02     yes
    2383.2         3.531e-04       7.9      1.38     NO*
    1367.0         3.538e-04       2.6      1.10     yes
     965.0         3.550e-04       2.7      1.05     yes
    2062.0         3.594e-04       6.7      1.06     NO*
    2286.0         3.618e-04      11.0      1.00     NO*
    1944.2         3.647e-04       5.8      1.00     yes
     784.0         3.691e-04       5.9      1.17     yes
     919.0         3.701e-04      17.6      1.18     NO*
    2358.2         3.713e-04       5.0      1.05     yes
    2131.0         3.730e-04       2.8      1.03     yes
    1077.0         3.737e-04       4.1      1.05     yes
    2109.8         3.757e-04       1.6      1.09     yes
    1838.0         3.768e-04       3.9      1.01     yes
    1094.2         3.776e-04       0.5      1.00     yes
    2220.0         3.786e-04      11.1      1.20     NO*
     761.2         3.804e-04       2.6      1.07     yes
    2467.0         3.846e-04       1.7      1.02     yes
    1755.2         3.904e-04       1.6      1.00     yes
    2240.8         3.910e-04       2.3      1.13     yes
    1569.5         3.919e-04       1.7      1.13     yes
    2174.0         3.943e-04      12.9      1.02     NO*
    1166.0         3.992e-04       2.2      1.08     yes
    2264.5         4.061e-04       1.5      1.08     yes
    2156.2         4.073e-04       5.6      1.00     yes
    2085.0         4.073e-04      11.5      1.03     NO*
    1222.0         4.089e-04       9.3      1.24     NO*
    1919.2         4.090e-04       9.9      1.00     NO*
    1258.2         4.107e-04       4.1      1.07     yes
    2028.8         4.112e-04      12.4      1.16     NO*
    1436.0         4.135e-04       3.1      1.00     yes
    1115.8         4.162e-04       6.3      1.08     NO*
    1743.8         4.163e-04       0.5      1.00     yes
    1031.0         4.172e-04       7.0      1.30     NO*
     857.2         4.189e-04       1.2      1.00     yes
    1543.2         4.223e-04       1.0      1.00     yes
     270.0         4.233e-04       6.1      1.28     NO*
    1294.8         4.257e-04       1.3      1.00     yes
     739.8         4.286e-04       2.0      1.07     yes
    1525.0         4.313e-04       4.4      1.05     yes
    1389.2         4.324e-04       1.3      1.07     yes
    1413.0         4.363e-04       1.4      1.13     yes
    1458.8         4.381e-04       5.3      1.01     yes
    1884.0         4.382e-04       1.3      1.00     yes
    2489.2         4.410e-04       3.1      1.09     yes
    1772.0         4.446e-04       8.1      1.02     NO*
    2421.0         4.457e-04       3.7      1.12     yes
    1726.0         4.466e-04       8.8      1.00     NO*
    1589.8         4.470e-04       2.2      1.04     yes
     940.2         4.527e-04      18.1      1.09     NO*
    1506.8         4.576e-04       3.2      1.00     yes
     892.2         4.576e-04       2.5      1.00     yes
    1955.8         4.619e-04       0.9      1.00     yes
    1188.8         4.752e-04       3.4      1.19     yes
    2192.8         4.892e-04       1.6      1.00     yes
    1479.0         4.938e-04      11.8      1.39     NO*
    1813.2         4.965e-04       1.9      1.15     yes
    1637.0         4.979e-04       3.0      1.01     yes
     382.0         5.019e-04       2.5      1.04     yes
    1660.8         5.053e-04       1.2      1.02     yes
    1614.0         5.086e-04       4.3      1.05     yes
     360.2         5.111e-04       2.2      1.23     yes
    1992.2         5.137e-04      21.4      1.00     NO*
     718.0         5.186e-04       4.5      1.23     yes
    1791.8         5.214e-04       1.8      1.07     yes
    1278.0         5.268e-04      23.1      1.62     NO*
     809.2         5.315e-04       3.4      1.00     yes
    1973.0         5.413e-04       9.0      1.08     NO*
     672.0         5.415e-04       9.4      1.07     NO*
    1681.5         5.440e-04       1.2      1.05     yes
    1306.2         5.469e-04       4.2      1.00     yes
    2310.2         5.728e-04       2.9      1.13     yes
     290.8         5.802e-04       3.7      1.07     yes
     471.0         6.045e-04       2.6      1.02     yes
    1707.2         6.240e-04       1.6      1.00     yes
     242.8         6.241e-04       1.1      1.00     yes
     194.8         6.397e-04       3.0      1.00     yes
     691.8         6.555e-04       1.7      1.04     yes
     633.8         6.584e-04       7.9      1.04     NO*
     527.0         6.867e-04       6.2      1.12     NO*
     224.0         6.969e-04       3.9      1.08     yes
     491.2         7.198e-04       2.5      1.06     yes
     206.2         7.306e-04       1.5      1.00     yes
     608.8         7.489e-04       2.7      1.00     yes
     159.8         7.769e-04       0.9      1.00     yes
     135.0         8.060e-04       2.6      1.01     yes
     179.5         8.137e-04       5.2      1.21     yes
     560.8         8.244e-04       1.7      1.31     yes
     655.2         8.406e-04       1.1      1.00     yes
     583.0         9.066e-04       6.1      1.02     NO*
     336.0         9.661e-04       2.5      1.03     yes
     313.0         9.916e-04       2.9      1.15     yes
    1009.8         1.108e-03      18.3      2.37     NO*
     112.0         1.208e-03       1.6      1.03     yes
      88.8         1.877e-03       1.6      1.01     yes
     986.5         3.505e-03      14.1     10.17     NO*
      63.8         3.582e-03       2.4      1.09     yes
      42.2         4.931e-03       1.3      1.00     yes
      27.2         5.522e-03       0.7      1.00     yes
    1861.2         6.941e-02      36.0    318.95     NO*
  consensus floor = 4.523e-04 mV^2/Hz over 78 clean bands  ->  Var(n) = 0.0018 mV^2  (RMS 42.5 uV)

========================================================================
BPW34_2
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    1955.8         1.649e-03       0.3      1.00     yes
    2240.8         1.672e-03       1.9      1.05     yes
    1294.8         1.685e-03       0.9      1.00     yes
    1057.8         1.734e-03       1.6      1.00     yes
    2131.0         1.761e-03       1.0      1.05     yes
     857.2         1.771e-03       1.4      1.00     yes
    2332.0         1.774e-03       2.7      1.21     yes
     761.2         1.787e-03       3.9      1.14     yes
    1614.0         1.814e-03       2.2      1.06     yes
    1660.8         1.818e-03       2.2      1.06     yes
    1743.8         1.844e-03       0.8      1.00     yes
    1992.2         1.845e-03      18.3      1.00     NO*
    1569.5         1.849e-03       1.3      1.15     yes
     739.8         1.849e-03       1.4      1.23     yes
    1258.2         1.852e-03       1.3      1.01     yes
     270.0         1.853e-03       2.1      1.02     yes
    1436.0         1.865e-03       1.4      1.06     yes
    1413.0         1.866e-03       1.0      1.08     yes
    2028.8         1.870e-03       7.5      1.17     NO*
    2109.8         1.878e-03       1.1      1.04     yes
    1306.2         1.881e-03       1.9      1.00     yes
    1791.8         1.885e-03       0.9      1.21     yes
    1331.2         1.887e-03       6.7      1.03     NO*
    1166.0         1.895e-03       2.3      1.13     yes
     242.8         1.897e-03       1.5      1.00     yes
    1188.8         1.902e-03       2.3      1.01     yes
    1389.2         1.908e-03       1.8      1.00     yes
    1944.2         1.915e-03       1.8      1.00     yes
    1115.8         1.918e-03       3.2      1.11     yes
     718.0         1.921e-03       5.6      1.28     yes
    1973.0         1.922e-03       5.7      1.09     yes
    1589.8         1.928e-03       1.4      1.01     yes
    2174.0         1.933e-03       6.7      1.01     NO*
     965.0         1.937e-03       2.1      1.15     yes
    1458.8         1.941e-03       2.8      1.19     yes
    2156.2         1.951e-03       1.8      1.00     yes
    2264.5         1.951e-03       2.9      1.01     yes
    1919.2         1.957e-03       4.7      1.17     yes
    2062.0         1.965e-03       2.4      1.10     yes
    1838.0         1.966e-03       1.2      1.18     yes
    1726.0         1.978e-03       4.2      1.28     yes
    2310.2         1.993e-03       1.3      1.06     yes
    2441.2         1.994e-03       4.6      1.03     yes
    1707.2         1.999e-03       2.0      1.00     yes
    1681.5         2.000e-03       0.9      1.04     yes
    1367.0         2.005e-03       1.8      1.02     yes
    1031.0         2.013e-03       3.6      1.21     yes
    1525.0         2.016e-03       2.2      1.05     yes
    1094.2         2.033e-03       0.8      1.00     yes
    2085.0         2.044e-03       4.0      1.22     yes
    2220.0         2.059e-03       4.7      1.02     yes
     784.0         2.064e-03       5.6      1.03     yes
    2421.0         2.072e-03       4.9      1.08     yes
    2286.0         2.079e-03       4.4      1.03     yes
    2358.2         2.080e-03       1.9      1.01     yes
    1637.0         2.100e-03       1.2      1.01     yes
     919.0         2.102e-03      18.8      1.13     NO*
    1222.0         2.106e-03       4.4      1.22     yes
    2467.0         2.119e-03       2.4      1.22     yes
     892.2         2.119e-03       2.8      1.00     yes
    1077.0         2.159e-03       2.4      1.05     yes
     830.0         2.165e-03       4.2      1.03     yes
    1813.2         2.190e-03       1.8      1.13     yes
     224.0         2.199e-03       1.4      1.05     yes
     809.2         2.203e-03       2.6      1.02     yes
    1884.0         2.230e-03       1.1      1.15     yes
    1755.2         2.230e-03       1.3      1.00     yes
    2489.2         2.230e-03       3.3      1.05     yes
    1140.8         2.239e-03       1.5      1.28     yes
    1506.8         2.242e-03       0.8      1.00     yes
     206.2         2.245e-03       0.5      1.00     yes
     874.5         2.249e-03       1.6      1.02     yes
     194.8         2.260e-03       0.6      1.00     yes
     672.0         2.280e-03       6.4      1.07     NO*
     135.0         2.285e-03       1.8      1.14     yes
     527.0         2.294e-03       3.9      1.04     yes
    2192.8         2.301e-03       1.0      1.00     yes
     382.0         2.302e-03       1.0      1.00     yes
    2383.2         2.305e-03       2.9      1.01     yes
     360.2         2.306e-03       1.2      1.15     yes
     491.2         2.336e-03       1.9      1.01     yes
    1543.2         2.343e-03       0.8      1.00     yes
     471.0         2.344e-03       1.7      1.11     yes
    1772.0         2.351e-03       4.8      1.14     yes
     290.8         2.389e-03       1.6      1.13     yes
     608.8         2.429e-03       2.5      1.12     yes
     159.8         2.449e-03       0.9      1.11     yes
    1479.0         2.450e-03       5.8      1.09     yes
     633.8         2.469e-03       3.7      1.17     yes
     336.0         2.555e-03       2.8      1.08     yes
     560.8         2.598e-03       1.2      1.04     yes
     691.8         2.628e-03       2.0      1.05     yes
     940.2         2.712e-03      19.2      1.00     NO*
     313.0         2.777e-03       0.9      1.00     yes
     583.0         2.916e-03      12.0      1.00     NO*
     112.0         2.951e-03       1.0      1.01     yes
     179.5         2.958e-03       5.1      1.23     yes
     655.2         2.999e-03       1.4      1.00     yes
    1009.8         3.234e-03      14.2      1.41     NO*
      88.8         3.464e-03       1.0      1.11     yes
    1278.0         3.486e-03      25.9      2.82     NO*
      63.8         5.882e-03       1.8      1.03     yes
     986.5         5.954e-03       9.9      3.59     NO*
      27.2         6.790e-03       1.3      1.00     yes
      42.2         8.700e-03       0.7      1.00     yes
    1861.2         2.941e-01      35.5    283.42     NO*
  consensus floor = 2.062e-03 mV^2/Hz over 94 clean bands  ->  Var(n) = 0.0082 mV^2  (RMS 90.8 uV)

========================================================================
Inano_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    2156.2         1.946e-03       1.4      1.00     yes
    1955.8         2.045e-03       0.8      1.00     yes
    1944.2         2.226e-03       0.8      1.00     yes
    2109.8         2.237e-03       1.3      1.05     yes
    1992.2         2.265e-03       9.8      1.00     NO*
    2310.2         2.290e-03       2.2      1.07     yes
    2421.0         2.312e-03       1.2      1.17     yes
    1755.2         2.333e-03       0.7      1.00     yes
    2085.0         2.357e-03       2.0      1.15     yes
    2131.0         2.360e-03       2.4      1.08     yes
    2489.2         2.416e-03       1.4      1.12     yes
    2441.2         2.451e-03       1.4      1.03     yes
    2240.8         2.492e-03       1.0      1.18     yes
    1681.5         2.513e-03       1.4      1.11     yes
    2286.0         2.521e-03       1.2      1.00     yes
    2383.2         2.538e-03       1.5      1.04     yes
    2358.2         2.542e-03       1.3      1.06     yes
    1884.0         2.556e-03       1.7      1.01     yes
    1772.0         2.558e-03       1.6      1.10     yes
    1743.8         2.575e-03       1.6      1.00     yes
    2332.0         2.580e-03       0.9      1.03     yes
    1838.0         2.580e-03       1.6      1.02     yes
    1660.8         2.591e-03       1.3      1.04     yes
