BPW34_2,Inano_1,Inano_2
-0.10466117214684534,-0.10575439244066898,-0.09703460787349227
-0.10550376998728961,-0.10623942185197865,-0.09689121580093563
-0.1063297542010817,-0.10670066840384251,-0.09671750425935732
-0.10713866713906706,-0.10713793723842668,-0.09651352190898521
-0.1079300186978176,-0.10755095115355706,-0.09627920102919818
-0.10870337905118088,-0.10793946331868387,-0.09601448613966657
-0.10945835081093591,-0.10830337321016614,-0.09571951324505434
-0.1101945256468384,-0.10864241540499364,-0.09539417180922616
-0.11091158705587878,-0.10895656783718932,-0.09503866066162425
-0.11160918007052123,-0.10924566684362258,-0.09465297636826442
-0.11228702988958039,-0.10950964892388315,-0.09423721877209612
-0.11294487022050159,-0.10974852033846183,-0.09379157622860834
-0.11358244546451823,-0.10996216398613745,-0.0933160398296562
-0.11419957689854732,-0.11015069194974014,-0.09281089492169237
-0.11479604618490313,-0.11031403642145987,-0.09227616756448098
-0.11537172427054454,-0.1104522867266664,-0.09171206583405933
-0.1159264659293564,-0.1105655209657348,-0.09111877823751557
-0.11646015655388231,-0.11065375120034249,-0.09049637034032054
-0.1169727340469997,-0.11071717870568998,-0.08984515520091652
-0.1174641009095807,-0.11075581208422447,-0.08916516519578632
-0.11793424687158938,-0.1107698550226841,-0.08845667292731818
-0.11838312396592565,-0.11075942547831685,-0.08771983219775192
-0.11881073111151297,-0.1107246412227414,-0.0869547642484374
-0.11921709016481952,-0.11066575005529122,-0.0861617668217769
-0.11960219716399667,-0.11058282094252636,-0.08534087321201111
-0.11996612353243963,-0.11047613339405604,-0.08449238906425416
-0.12030888811832874,-0.11034582263938875,-0.0836164228882037
-0.12063056802895655,-0.11019208997412067,-0.08271314635681781
-0.12093123333462863,-0.1100151968546137,-0.08178282213713173
-0.12121094253047904,-0.10981526386310492,-0.0808254994937716
-0.12146981048103278,-0.10959261447283541,-0.07984150359231812
-0.12170789357561773,-0.10934739210963196,-0.0788309137489045
-0.12192531228676318,-0.10907986501115063,-0.0777939623349444
-0.12212215411492089,-0.10879029033349452,-0.07673088329366706
-0.12229851236071632,-0.10847884089795956,-0.0756417758783492
-0.12245451368395699,-0.10814586376613011,-0.07452699070537605
-0.12259023006203762,-0.10779151637644313,-0.07338661787099232
-0.12270579761827527,-0.10741612535286826,-0.07222097404014383
-0.12280130092078068,-0.10701994222851052,-0.07103029411108785
-0.12287684862030979,-0.1066032013305036,-0.0698147740443007
-0.12293255887239951,-0.10616626564933185,-0.06857481153559286
-0.12296850766544942,-0.10570932461859028,-0.06731056280072911
-0.12298482962944846,-0.10523276154216354,-0.06602245880087354
-0.1229815984270326,-0.10473683455810834,-0.06471077968670702
-0.12295892846880463,-0.10422185290828256,-0.06337586667760764
-0.12291692175973257,-0.1036881974320023,-0.06201819312038781
-0.1228556570874284,-0.10313611304609438,-0.06063803899177378
-0.12277526149233875,-0.1025660405214901,-0.059235975620111514
-0.12267580115124144,-0.10197826368802554,-0.05781237471742795
-0.1225573957302073,-0.10137317766921372,-0.05636776022890544
-0.12242013477236569,-0.10075118700472263,-0.054902705612144054
-0.12226410697688195,-0.10011261294171891,-0.05341766030867667
-0.12208943528310723,-0.09945795171686145,-0.0519133476479805
-0.12189619059542878,-0.09878753113640348,-0.05039026639107114
