FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.000 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 126  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
A2V-16_A1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    2305.0         5.569e-03       0.3      1.00     yes
     595.0         5.824e-03       1.5      1.00     yes
     105.0         5.875e-03       1.0      1.00     yes
    2080.0         5.936e-03       3.4      1.00     yes
    2420.0         6.035e-03       4.3      1.04     yes
    1380.0         6.040e-03       4.1      1.07     yes
     205.0         6.094e-03       0.9      1.00     yes
    1260.0         6.115e-03       2.2      1.10     yes
    1505.0         6.135e-03       0.9      1.00     yes
    2240.0         6.183e-03       4.8      1.09     yes
     695.0         6.190e-03       1.8      1.00     yes
    1640.0         6.303e-03       3.2      1.01     yes
    2140.0         6.321e-03       2.3      1.23     yes
    1760.0         6.327e-03       2.2      1.05     yes
    1295.0         6.366e-03       0.7      1.00     yes
      95.0         6.392e-03       0.9      1.00     yes
    1895.0         6.435e-03       3.2      1.00     yes
     820.0         6.466e-03       3.7      1.02     yes
     320.0         6.471e-03       6.0      1.02     yes
    2120.0         6.492e-03       2.3      1.06     yes
      40.0         6.496e-03       4.3      1.11     yes
     680.0         6.508e-03       2.1      1.09     yes
     360.0         6.533e-03       5.1      1.08     yes
    1720.0         6.546e-03       2.6      1.00     yes
    1460.0         6.552e-03       2.6      1.02     yes
     905.0         6.653e-03       1.4      1.00     yes
     740.0         6.661e-03       4.0      1.06     yes
     840.0         6.687e-03       2.3      1.10     yes
    1660.0         6.690e-03       6.0      1.01     yes
    1395.0         6.693e-03       1.1      1.00     yes
    2320.0         6.709e-03       4.6      1.20     yes
    1480.0         6.736e-03       3.7      1.15     yes
    1080.0         6.736e-03       4.0      1.10     yes
    1520.0         6.742e-03       3.6      1.14     yes
    2360.0         6.752e-03       6.0      1.06     NO*
    1880.0         6.796e-03       3.4      1.05     yes
     660.0         6.805e-03       4.9      1.08     yes
    2295.0         6.818e-03       4.2      1.00     yes
     780.0         6.822e-03       5.6      1.17     yes
    1540.0         6.835e-03       3.0      1.18     yes
    1420.0         6.848e-03       3.4      1.00     yes
    1705.0         6.881e-03       0.7      1.00     yes
     220.0         6.898e-03       3.2      1.21     yes
    2180.0         6.909e-03       3.3      1.13     yes
     140.0         6.910e-03       2.1      1.01     yes
    1840.0         6.917e-03       2.5      1.04     yes
    2460.0         6.918e-03       2.6      1.02     yes
    1495.0         6.957e-03       1.2      1.00     yes
    1685.0         6.979e-03       4.4      1.54     yes
    1440.0         6.994e-03       2.8      1.14     yes
     560.0         7.003e-03       2.0      1.01     yes
    1620.0         7.021e-03       3.3      1.02     yes
    2160.0         7.022e-03       2.8      1.13     yes
    2340.0         7.039e-03       3.1      1.02     yes
    2405.0         7.053e-03       2.2      1.00     yes
    2095.0         7.058e-03       0.7      1.00     yes
    2195.0         7.060e-03       1.0      1.00     yes
     395.0         7.094e-03       0.6      1.00     yes
    1595.0         7.107e-03       5.9      1.00     yes
    1360.0         7.131e-03       5.9      1.02     yes
    1960.0         7.152e-03       3.0      1.08     yes
    1060.0         7.156e-03       2.6      1.15     yes
     630.0         7.156e-03       4.1      1.07     yes
     380.0         7.179e-03       5.2      1.03     yes
     805.0         7.198e-03       1.8      1.00     yes
      80.0         7.202e-03       5.1      1.00     yes
     920.0         7.202e-03      11.6      1.02     NO*
    2030.0         7.212e-03       3.3      1.07     yes
     605.0         7.214e-03       0.4      1.00     yes
    2060.0         7.214e-03       5.4      1.05     yes
    1020.0         7.221e-03       4.4      1.07     yes
     760.0         7.227e-03       1.2      1.25     yes
     340.0         7.254e-03       2.9      1.01     yes
    1140.0         7.307e-03       2.2      1.09     yes
    1740.0         7.319e-03       4.7      1.00     yes
     305.0         7.324e-03       2.1      1.00     yes
    1795.0         7.348e-03       1.2      1.00     yes
    1305.0         7.352e-03       0.9      1.00     yes
     940.0         7.356e-03      13.6      1.02     NO*
    1180.0         7.358e-03       3.4      1.05     yes
    1780.0         7.382e-03       4.8      1.03     yes
    1040.0         7.425e-03       3.7      1.10     yes
    1095.0         7.434e-03       1.3      1.00     yes
    1115.0         7.443e-03       3.8      1.05     yes
    1195.0         7.447e-03       1.0      1.00     yes
     870.0         7.448e-03       3.5      1.07     yes
    1605.0         7.477e-03       0.6      1.00     yes
    1225.0         7.487e-03       4.7      1.19     yes
     285.0         7.525e-03       2.1      1.05     yes
     260.0         7.533e-03       3.5      1.04     yes
    1815.0         7.565e-03       2.7      1.35     yes
      60.0         7.568e-03       2.3      1.02     yes
     480.0         7.581e-03       3.9      1.24     yes
    2105.0         7.584e-03       1.7      1.00     yes
     240.0         7.603e-03       3.8      1.04     yes
    1980.0         7.635e-03       5.6      1.24     yes
     705.0         7.642e-03       0.7      1.00     yes
    1405.0         7.662e-03       2.2      1.00     yes
     530.0         7.831e-03       3.7      1.17     yes
    1330.0         7.908e-03       2.8      1.13     yes
    1995.0         7.917e-03      11.5      1.00     NO*
     795.0         7.923e-03       1.8      1.00     yes
    1280.0         7.936e-03      13.6      1.27     NO*
     580.0         7.940e-03       9.5      1.26     NO*
    1160.0         7.964e-03       6.4      1.33     NO*
    2205.0         7.983e-03       0.4      1.00     yes
    2385.0         8.167e-03       3.4      1.06     yes
    2485.0         8.192e-03       6.1      1.27     NO*
     720.0         8.234e-03       4.1      1.20     yes
     960.0         8.241e-03       4.6      1.00     yes
     170.0         8.262e-03       2.6      1.09     yes
    2270.0         8.319e-03       3.4      1.22     yes
    2220.0         8.431e-03       3.3      1.15     yes
     120.0         8.485e-03       5.9      1.32     yes
    1925.0         8.559e-03       3.4      1.22     yes
    2005.0         8.608e-03       5.8      1.00     yes
     985.0         8.617e-03       9.9      1.20     NO*
     495.0         8.625e-03       1.0      1.00     yes
    1570.0         8.950e-03       2.5      1.20     yes
     195.0         9.069e-03       3.3      1.00     yes
      25.0         9.330e-03       0.6      1.00     yes
     895.0         9.613e-03       1.6      1.00     yes
    2440.0         9.749e-03       8.3      1.53     NO*
     505.0         1.028e-02       4.3      1.00     yes
    1005.0         1.055e-02       6.0      1.00     yes
    1860.0         1.591e-02      18.6      3.89     NO*
  consensus floor = 7.107e-03 mV^2/Hz over 115 clean bands  ->  Var(n) = 0.0284 mV^2  (RMS 168.6 uV)
  carrier a = 342.972 mV  ->  SNR = 63.2 dB in the 4 Hz demod band

========================================================================
A2V-16_A2
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    2095.0         5.596e-03       1.4      1.00     yes
     105.0         5.707e-03       0.8      1.00     yes
    1420.0         5.809e-03       1.7      1.09     yes
     205.0         5.816e-03       0.9      1.00     yes
    1295.0         5.818e-03       1.0      1.00     yes
     660.0         5.936e-03       4.9      1.10     yes
    1195.0         6.008e-03       1.0      1.00     yes
     495.0         6.025e-03       1.0      1.00     yes
    1395.0         6.042e-03       1.1      1.00     yes
     820.0         6.047e-03       3.2      1.05     yes
    1440.0         6.056e-03       3.1      1.13     yes
    1380.0         6.067e-03       1.7      1.02     yes
    1140.0         6.136e-03       2.3      1.07     yes
    2205.0         6.148e-03       1.4      1.00     yes
    2195.0         6.152e-03       0.7      1.00     yes
    2060.0         6.262e-03       5.9      1.15     yes
    2420.0         6.274e-03       3.6      1.01     yes
     595.0         6.345e-03       1.0      1.00     yes
    2140.0         6.346e-03       4.1      1.03     yes
    1895.0         6.352e-03       1.5      1.00     yes
    2105.0         6.365e-03       1.3      1.00     yes
     340.0         6.411e-03       2.3      1.05     yes
    2180.0         6.425e-03       2.6      1.00     yes
    1405.0         6.447e-03       2.0      1.00     yes
     840.0         6.450e-03       2.2      1.03     yes
    2305.0         6.482e-03       0.9      1.00     yes
    1880.0         6.519e-03       1.7      1.01     yes
    1495.0         6.520e-03       1.5      1.00     yes
    1505.0         6.525e-03       0.6      1.00     yes
     940.0         6.537e-03      13.6      1.09     NO*
     120.0         6.543e-03       4.9      1.21     yes
    2220.0         6.577e-03       2.1      1.13     yes
     320.0         6.581e-03       5.9      1.10     yes
     805.0         6.584e-03       2.1      1.00     yes
     605.0         6.587e-03       1.0      1.00     yes
     720.0         6.596e-03       4.7      1.06     yes
     705.0         6.611e-03       1.2      1.00     yes
    1360.0         6.632e-03       4.6      1.05     yes
     905.0         6.642e-03       1.6      1.00     yes
    1095.0         6.644e-03       1.7      1.00     yes
     220.0         6.661e-03       2.4      1.11     yes
     695.0         6.678e-03       0.7      1.00     yes
     170.0         6.678e-03       3.5      1.46     yes
      60.0         6.688e-03       1.6      1.22     yes
      40.0         6.714e-03       5.1      1.06     yes
    1620.0         6.723e-03       1.9      1.04     yes
    1740.0         6.731e-03       3.6      1.14     yes
     760.0         6.738e-03       2.0      1.72     yes
    1605.0         6.742e-03       0.3      1.00     yes
    2030.0         6.742e-03       3.3      1.11     yes
    1660.0         6.748e-03       5.7      1.02     yes
    1460.0         6.831e-03       3.1      1.02     yes
    2080.0         6.846e-03       2.1      1.03     yes
    1260.0         6.871e-03       1.7      1.03     yes
    2360.0         6.916e-03       6.7      1.04     NO*
      80.0         6.917e-03       4.7      1.13     yes
    1180.0         6.929e-03       1.1      1.12     yes
    1720.0         6.936e-03       1.3      1.21     yes
     260.0         6.946e-03       3.7      1.11     yes
    2340.0         6.953e-03       2.2      1.00     yes
    1570.0         7.026e-03       4.4      1.27     yes
    1060.0         7.026e-03       2.3      1.07     yes
