timestamp,BPW34_1,BPW34_2,Inano_1,Inano_2
1485634158,67,196,313,319
1485634825,61,208,312,299
1485635491,116,255,314,321
1485636158,58,212,325,330
1485636825,56,212,320,308
1485637491,116,255,333,329
1485638158,61,211,323,341
1485638825,63,209,334,330
1485639491,122,250,335,340
1485640158,60,205,332,335
1485640825,60,212,320,333
1485641491,115,257,338,346
1485642158,56,217,339,347
1485642825,60,229,351,346
1485643491,118,255,347,357
1485644158,62,209,347,347
1485644825,62,209,347,346
1485645491,119,252,350,339
1485646158,61,210,332,327
1485646825,59,211,325,327
1485647491,116,257,328,324
1485648158,61,209,322,323
1485648825,53,224,322,318
1485649491,116,259,328,322
1485650158,61,210,316,318
1485650825,62,207,309,301
1485651491,119,252,317,305
1485652158,62,208,314,310
1485652825,62,209,317,330
1485653491,116,253,325,337
1485654158,57,212,320,336
1485654825,58,213,322,327
1485655491,116,255,322,337
1485656158,60,214,330,331
1485656825,59,212,327,333
1485657491,119,255,333,335
1485658158,62,207,333,343
1485658825,63,209,337,354
1485659491,118,249,353,357
1485660158,57,217,349,351
1485660825,57,212,344,347
1485661491,115,259,343,348
1485662158,58,213,329,329
1485662825,61,212,339,332
1485663491,119,254,331,327
1485664158,63,208,326,323
1485664825,63,208,325,321
1485665491,119,252,323,324
1485666158,62,209,321,319
1485666825,66,226,311,313
1485667491,113,255,313,301
1485668158,57,212,310,304
1485668825,59,211,316,297
1485669491,117,257,345,333
1485670158,60,212,327,336
1485670825,63,207,327,340
1485671491,120,252,331,337
1485672158,63,217,323,338
1485672825,65,204,325,337
1485673491,119,254,333,341
1485674158,60,209,323,341
1485674825,58,211,328,349
1485675491,113,257,354,351
1485676158,60,211,350,351
1485676825,60,213,353,360
1485677491,119,253,358,356
1485678158,62,210,354,346
1485678825,63,208,335,345
1485679491,119,252,349,331
1485680158,61,208,323,329
1485680825,59,209,318,325
1485681491,117,258,330,327
1485682158,58,212,321,320
1485682825,58,210,314,319
1485683491,116,257,321,314
1485684158,66,219,314,304
1485684825,63,228,315,324
1485685491,117,269,324,331
1485686158,63,208,327,335
