timestamp,BPW34_1,BPW34_2,Inano_1,Inano_2
11167492,85,251,349,326
11168158,123,265,339,328
11168825,75,241,326,325
11169492,88,251,338,324
11170158,124,263,329,321
11170825,77,242,311,301
11171492,84,251,321,323
11172158,121,268,321,323
11172825,77,242,321,341
11173492,82,252,331,337
11174158,123,267,341,336
11174825,76,243,330,339
11175492,82,252,337,335
11176158,122,265,343,335
11176825,77,242,329,335
11177492,85,251,340,334
11178158,123,265,339,347
11178825,77,242,341,348
11179492,92,251,362,368
11180158,122,263,362,362
11180825,82,232,354,353
11181492,85,251,358,350
11182158,122,267,358,344
11182825,78,241,347,341
11183492,85,249,338,331
11184158,110,271,342,324
11184825,78,243,331,325
11185492,87,247,326,329
11186158,120,268,331,322
11186825,77,242,322,323
11187492,87,249,311,315
11188158,117,269,324,320
11188825,74,245,311,308
11189492,89,248,317,337
11190158,121,261,335,339
11190825,77,244,331,335
11191492,89,247,328,339
11192158,118,266,339,335
11192825,79,243,332,338
11193492,89,247,332,341
11194158,120,267,334,331
11194825,75,245,329,336
11195492,90,250,347,351
11196158,125,264,360,357
11196825,74,246,354,353
11197492,88,249,354,351
11198158,124,263,381,353
11198825,73,245,348,340
11199492,86,253,346,332
11200158,123,261,349,330
11200825,75,242,323,326
11201492,86,252,330,327
11202158,122,264,342,327
11202825,76,243,325,327
11203492,84,251,317,314
11204158,122,266,328,323
11204825,78,242,312,310
11205492,84,250,312,321
11206158,122,265,331,340
11206825,79,242,329,338
11207492,86,251,327,335
11208158,120,267,343,336
11208825,78,243,339,336
11209492,87,253,329,337
11210158,120,266,344,336
11210825,78,244,331,338
11211492,88,249,337,342
11212158,120,267,352,351
11212825,78,243,358,364
11213492,88,252,355,361
11214158,118,267,364,353
11214825,76,245,358,352
11215492,90,247,347,348
11216158,119,267,352,336
11216825,75,245,339,328
11217492,89,245,323,327
11218158,119,266,337,323
11218825,74,246,322,320
11219492,90,246,324,330
11220158,120,267,326,314
11220825,74,245,309,294
11221492,90,249,315,320
11222158,120,266,323,311
11222825,74,245,326,330
11223492,88,248,334,343
11224158,120,266,339,338
11224825,76,245,335,327
11225492,90,249,335,340
11226158,120,264,336,335
11226825,74,245,332,326
11227492,88,248,334,342
11228158,121,264,346,337
11228825,72,243,344,336
11229492,89,248,353,365
11230158,122,263,362,357
11230825,74,244,352,336
11231492,88,251,358,356
11232158,124,264,337,345
11232825,74,245,342,322
11233492,83,255,337,332
11234158,123,262,339,324
11234825,72,247,324,313
11235492,86,252,329,328
11236158,124,264,337,326
11236825,75,244,313,293
11237492,85,251,319,314
11238158,117,263,319,319
11238825,74,244,310,299
11239492,86,249,324,343
11240158,123,263,340,337
11240825,75,240,326,321
11241492,90,259,335,333
11242158,122,265,343,338
11242825,76,242,328,323
11243492,84,251,331,336
11244158,123,265,347,338
11244825,78,241,328,341
11245492,84,251,340,348
11246158,120,263,370,374
11246825,76,252,349,345
11247492,85,253,353,354
11248158,122,265,367,356
11248825,77,240,341,339
11249492,84,252,345,333
11250158,120,265,350,326
11250825,77,232,331,317
11251492,84,252,327,323
11252158,123,259,338,322
11252825,77,242,312,314
11253492,85,252,323,316
11254158,123,265,327,348
11254825,77,242,303,306
11255492,84,251,312,303
11256158,124,263,340,341
11256825,75,240,323,329
11257492,85,251,327,334
11258158,123,265,345,339
11258825,76,242,322,333
11259492,81,249,348,336
11260158,127,265,339,343
11260825,76,242,323,335
11261492,75,252,334,338
11262158,134,266,362,353
11262825,78,241,350,363
11263492,73,249,358,354
11264158,138,269,362,351
11264825,79,243,353,350
11265492,74,249,347,342
11266158,140,271,354,337
11266825,78,241,330,326
11267492,75,250,330,325
11268158,132,268,339,324
11268825,77,240,325,325
11269492,76,249,325,325
11270158,132,266,331,318
11270825,77,242,309,300
11271492,75,248,312,309
11272158,131,267,324,326
11272825,77,245,324,331
11273492,78,247,327,343
11274158,130,269,342,337
11274825,77,241,326,339
11275492,77,248,328,335
11276158,131,269,350,334
11276825,78,240,334,337
11277492,78,249,331,337
11278158,131,267,341,340
11278825,76,243,342,342
11279492,78,248,352,367
11280158,136,266,368,355
11280825,75,243,354,349
11281492,84,245,352,357
11282158,131,267,360,350
11282825,77,237,337,329
11283492,72,249,339,337
11284158,130,267,330,323
11284825,77,241,323,319
11285492,78,247,329,319
11286158,131,268,333,323
11286825,72,255,319,313
11287492,77,245,314,303
11288158,131,269,322,323
11288825,75,245,315,321
11289492,78,247,326,345
11290158,128,269,340,340
11290825,74,241,324,334
11291492,77,243,334,339
11292158,130,269,337,343
11292825,76,243,334,338
11293492,78,249,335,339
11294158,134,265,339,339
11294825,73,245,335,337
11295492,78,247,348,351
11296158,140,264,363,369
11296825,72,244,352,353
11297492,78,247,354,349
11298158,137,264,371,349
11298825,72,243,350,342
11299492,75,249,345,341
11300158,137,263,342,332
11300825,72,251,327,325
11301492,74,252,330,323
11302158,136,265,338,327
11302825,72,246,320,319
11303492,74,243,319,312
11304158,130,268,325,322
11304825,75,236,312,309
11305492,72,246,315,321
11306158,136,268,338,341
11306825,75,242,328,345
11307492,74,246,333,328
11308158,135,272,345,331
11308825,75,243,331,341
11309492,73,240,338,335
11310158,136,271,355,344
11310825,77,242,326,337
11311492,74,245,336,342
11312158,135,274,354,353
11312825,77,241,354,361
11313492,75,245,355,357
11314158,134,279,363,350
11314825,78,242,358,361
11315492,73,245,350,344
11316158,134,273,354,340
11316825,77,242,339,333
11317492,75,244,332,322
11318158,132,273,338,323
11318825,77,242,331,333
11319492,68,249,321,325
11320158,134,283,326,315
11320825,81,238,316,318
11321492,76,244,314,308
11322158,132,273,319,320
11322825,76,244,323,348
11323492,77,242,326,343
11324158,132,273,338,344
11324825,76,245,335,341
11325492,77,242,332,341
11326158,132,273,345,336
11326825,76,245,339,341
11327492,77,240,337,339
11328158,130,272,342,341
11328825,77,237,343,351
11329492,83,241,351,361
11330158,133,272,358,352
11330825,74,249,359,352
11331492,78,241,366,349
11332158,134,271,355,340
11332825,72,247,342,338
11333492,78,243,337,332
11334158,134,271,335,322
11334825,73,247,328,328
11335492,77,244,333,327
11336158,135,269,333,325
11336825,73,247,311,314
11337492,76,245,312,316
11338158,135,270,319,317
11338825,74,245,313,305
