FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.000 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 126  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
A2V-16_A1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    1420.0         1.853e-03       2.0      1.12     yes
     705.0         1.949e-03       3.3      1.00     yes
    1460.0         1.993e-03       3.7      1.22     yes
    2105.0         2.036e-03       1.3      1.00     yes
    1595.0         2.058e-03       6.8      1.00     NO*
    1440.0         2.060e-03       2.6      1.07     yes
    2140.0         2.081e-03       5.6      1.05     yes
    1720.0         2.089e-03       1.2      1.02     yes
    1295.0         2.108e-03       2.1      1.00     yes
    1095.0         2.112e-03       2.1      1.00     yes
    1305.0         2.140e-03       0.5      1.00     yes
    1705.0         2.166e-03       0.9      1.00     yes
     140.0         2.167e-03       1.9      1.03     yes
    1685.0         2.177e-03       3.3      1.09     yes
      25.0         2.188e-03       1.6      1.00     yes
    1960.0         2.191e-03       1.5      1.22     yes
    1780.0         2.194e-03       4.7      1.03     yes
    1495.0         2.239e-03       1.1      1.00     yes
    2095.0         2.250e-03       1.0      1.00     yes
    2240.0         2.253e-03       4.4      1.07     yes
     560.0         2.263e-03       2.0      1.05     yes
    1660.0         2.283e-03       6.0      1.02     NO*
     105.0         2.292e-03       0.8      1.00     yes
     660.0         2.294e-03       4.6      1.00     yes
     840.0         2.305e-03       1.9      1.09     yes
    1020.0         2.325e-03       3.8      1.02     yes
     760.0         2.338e-03       4.7      1.00     yes
    1640.0         2.341e-03       3.6      1.06     yes
     740.0         2.343e-03       5.1      1.02     yes
    2305.0         2.347e-03       0.6      1.00     yes
     895.0         2.351e-03       2.3      1.00     yes
    1360.0         2.360e-03       5.9      1.08     yes
    1760.0         2.389e-03       2.3      1.11     yes
    2120.0         2.397e-03       1.4      1.06     yes
    2160.0         2.399e-03       2.9      1.02     yes
      40.0         2.400e-03       4.2      1.08     yes
    1115.0         2.416e-03       6.6      1.05     NO*
     205.0         2.419e-03       1.1      1.00     yes
    1880.0         2.424e-03       2.0      1.02     yes
      95.0         2.427e-03       0.1      1.00     yes
     495.0         2.440e-03       3.3      1.00     yes
     395.0         2.447e-03       1.4      1.00     yes
    1605.0         2.447e-03       1.4      1.00     yes
    2195.0         2.452e-03       0.9      1.00     yes
    1380.0         2.455e-03       1.9      1.25     yes
    2360.0         2.457e-03       7.8      1.02     NO*
    2180.0         2.459e-03       2.3      1.17     yes
     195.0         2.461e-03       3.2      1.00     yes
    1480.0         2.468e-03       4.3      1.00     yes
    2080.0         2.469e-03       2.4      1.00     yes
     805.0         2.470e-03       0.7      1.00     yes
     260.0         2.481e-03       3.2      1.08     yes
     960.0         2.498e-03       5.5      1.01     yes
    1080.0         2.502e-03       5.7      1.06     yes
    1620.0         2.535e-03       9.9      1.08     NO*
     795.0         2.536e-03       1.0      1.00     yes
    1540.0         2.539e-03       2.2      1.06     yes
     320.0         2.551e-03       6.0      1.01     NO*
     720.0         2.562e-03       2.5      1.11     yes
    1195.0         2.565e-03       1.0      1.00     yes
    2405.0         2.565e-03       1.4      1.00     yes
    2060.0         2.578e-03       5.6      1.17     yes
    1505.0         2.590e-03       0.7      1.00     yes
    1225.0         2.590e-03       4.9      1.19     yes
     340.0         2.597e-03       8.2      1.17     NO*
    1180.0         2.629e-03       1.8      1.36     yes
     905.0         2.636e-03       1.5      1.00     yes
     380.0         2.639e-03       6.2      1.10     NO*
    2385.0         2.644e-03      10.2      1.28     NO*
     285.0         2.666e-03       3.1      1.19     yes
    2220.0         2.667e-03       8.5      1.20     NO*
