timestamp,BPW34_1,BPW34_2,Inano_1,Inano_2
565267582,190,80,282,301
565268250,193,94,280,310
565268915,197,87,356,390
565269582,665,593,750,768
565270250,539,330,534,535
565270915,192,90,281,285
565271582,194,88,287,315
565272249,193,89,292,321
565272916,621,534,685,696
565273582,620,447,626,639
565274249,193,87,284,290
565274915,193,92,280,304
565275582,193,87,297,324
565276249,539,443,624,628
565276915,676,537,685,705
565277582,199,96,285,319
565278249,192,92,282,300
565278915,195,84,279,329
565279582,416,329,523,522
565280249,693,602,749,774
565280915,289,195,396,419
565281582,195,85,281,311
565282249,192,90,281,320
565282915,295,191,388,410
565283582,675,592,756,777
565284249,426,329,527,523
565284915,194,88,275,297
565285582,192,95,282,321
565286249,199,90,282,317
565286915,621,535,736,748
565287582,534,438,623,635
565288249,192,91,286,301
565288915,194,86,281,295
565289582,193,87,282,315
565290249,537,438,661,689
565290915,621,534,684,699
565291582,198,87,283,309
565292249,194,90,278,307
565292915,193,87,284,305
565293582,420,330,575,602
565294249,674,592,749,769
565294915,297,94,292,315
565295582,192,87,283,312
565296249,194,87,281,313
565296915,292,197,397,499
565297582,683,604,759,783
565298249,424,333,407,443
565298915,194,84,278,299
565299582,195,90,280,312
565300249,199,94,289,382
565300915,676,592,737,766
565301582,537,438,550,544
565302249,195,89,280,311
565302917,193,91,278,303
565303582,195,90,279,335
565304250,620,535,687,704
565304915,625,534,637,638
565305582,192,89,283,314
565306250,190,78,282,319
565306915,192,90,280,319
565307582,540,440,619,627
565308249,673,589,711,730
565308915,199,88,286,307
565309582,192,90,281,307
565310249,194,90,285,334
565310915,421,332,521,511
565311582,689,607,755,774
565312249,297,191,390,427
565312915,192,89,280,297
565313582,191,74,279,313
565314249,286,194,393,412
565314915,677,591,746,759
565315582,423,333,527,531
565316249,195,86,276,307
565316915,192,91,282,303
565317582,197,89,285,323
565318249,620,536,681,740
565318915,538,439,625,622
565319582,193,90,276,301
565320249,194,87,279,317
565320915,195,89,270,308
565321582,537,440,624,673
565322249,624,534,685,708
565322915,195,93,273,293
565323582,194,86,280,311
565324249,190,83,283,313
565324915,421,328,522,572
565325582,676,592,750,769
565326249,291,192,319,337
565326915,193,88,279,297
565327582,194,86,286,317
565328249,294,190,382,459
565328915,690,606,762,766
565329582,427,331,449,464
565330249,190,43,277,305
565330915,195,86,281,302
565331582,195,94,285,316
565332249,677,588,748,763
565332915,537,442,625,543
565333582,195,86,282,309
565334249,192,89,282,307
565334916,193,90,287,303
565335582,622,535,681,698
565336249,621,535,684,667
565336916,196,88,279,304
565337582,193,86,283,313
565338249,190,83,272,311
565338917,461,450,619,615
565339582,675,592,748,744
565340249,196,94,286,324
565340917,197,87,275,299
565341582,192,89,283,320
565342249,296,317,508,517
565342915,688,607,759,771
565343582,297,194,396,439
565344249,192,91,273,308
565344915,196,90,280,301
565345582,195,191,382,412
565346249,676,589,746,773
565346915,424,332,526,525
565347582,194,86,270,297
565348249,189,83,282,311
565348915,192,90,282,308
565349582,621,534,684,703
565350249,535,439,625,635
565350915,196,89,276,289
565351582,192,88,283,312
565352249,196,89,283,319
565352915,536,443,626,618
565353582,624,533,686,713
565354249,196,93,284,289
565354915,195,86,282,297
565355582,192,91,286,316
565356249,420,327,526,525
565356915,690,591,747,764
565357582,296,192,401,370
565358249,194,88,280,309
565358915,192,90,285,305
565359582,297,192,381,419
565360249,668,609,760,776
565360915,423,328,527,459
565361582,192,90,282,307
565362249,193,87,284,317
565362915,197,94,287,307
565363582,622,586,745,760
565364249,539,442,622,595
565364915,193,86,285,293
565365582,194,89,282,311
565366249,192,88,279,315
565366915,538,525,675,684
565367582,619,535,683,709
565368250,194,86,279,309
565368915,192,89,291,305
565369582,196,87,284,319
565370250,417,334,604,613
565370915,676,585,749,760
565371582,195,95,292,323
565372250,194,89,283,307
565372915,192,91,279,305
565373582,296,192,474,511
565374249,689,607,758,781
565374915,427,205,405,418
565375582,192,90,288,296
565376249,188,78,287,313
565376915,197,91,345,389
565377582,675,589,749,769
565378249,539,332,532,532
565378915,192,87,283,282
565379582,195,88,280,311
565380249,192,89,297,324
565380915,625,532,682,694
565381582,619,449,639,644
565382249,196,86,282,279
565382915,192,91,281,302
565383582,194,86,297,323
565384249,537,440,619,626
565384915,677,536,690,701
565385582,198,94,285,313
565386249,193,88,282,310
565386915,193,85,277,314
565387582,417,324,517,520
565388249,694,604,748,772
565388915,292,196,396,412
565389582,195,86,278,308
565390249,193,92,280,320
565390915,296,194,377,399
565391582,676,592,756,780
565392249,426,330,527,528
565392915,194,93,283,298
565393582,192,87,281,315
565394249,199,92,280,317
565394915,619,535,730,746
565395582,539,444,623,631
565396249,192,90,280,308
565396915,195,88,279,296
565397582,191,80,283,311
565398249,534,440,658,683
