timestamp,BPW34_1,BPW34_2,Inano_1,Inano_2
25800825,62,215,328,336
25801492,62,208,324,346
25802158,110,252,337,337
25802825,62,210,335,341
25803492,61,211,328,339
25804158,110,251,339,348
25804825,65,209,339,357
25805492,59,211,346,365
25806158,113,249,357,364
25806825,63,208,349,359
25807492,58,213,357,355
25808158,111,234,342,350
25808825,61,211,339,335
25809492,58,219,339,336
25810158,112,248,335,327
25810825,62,210,326,326
25811492,60,213,324,326
25812158,115,249,327,329
25812825,60,211,314,299
25813492,60,213,308,315
25814158,112,248,314,324
25814825,60,212,314,308
25815492,64,213,323,350
25816158,111,249,316,335
25816825,58,214,318,332
25817492,63,207,323,339
25818158,111,250,331,339
25818825,60,212,324,337
25819492,63,209,329,346
25820158,109,251,329,342
25820825,61,212,340,348
25821492,64,208,340,357
25822158,113,254,354,361
25822825,62,209,351,368
25823492,62,209,354,360
25824158,108,253,356,357
25824825,64,210,343,339
25825492,60,212,344,337
25826158,109,251,331,339
25826825,63,209,329,329
25827492,58,212,325,326
25828158,112,251,327,323
25828825,63,208,320,323
25829492,60,212,314,299
25830158,114,250,307,315
25830825,66,210,306,309
25831492,59,215,315,306
25832158,111,248,333,331
25832825,64,212,314,331
25833492,57,217,325,336
25834158,103,247,338,341
25834825,69,213,329,331
25835492,63,209,331,331
25836158,100,252,337,337
25836825,72,213,333,335
25837492,63,208,330,345
25838158,98,253,346,352
25838825,73,212,351,359
25839492,61,208,357,358
25840158,100,253,358,354
25840825,75,211,355,357
25841492,58,212,336,340
25842158,103,252,351,337
25842825,74,208,334,336
25843492,56,214,328,318
25844158,94,237,333,330
25844825,63,201,318,323
25845492,59,207,324,321
25846158,101,248,317,312
25846825,73,216,312,307
25847492,60,211,310,299
25848158,102,248,321,327
25848825,67,212,328,346
25849492,62,203,325,330
25850158,104,252,329,340
25850825,68,207,324,334
25851492,62,211,335,330
25852158,99,249,329,339
25852825,70,213,331,344
25853492,63,208,330,329
25854158,100,248,342,341
25854825,74,215,349,354
25855492,62,213,353,351
25856158,98,249,356,365
25856825,74,212,349,350
25857492,60,210,357,339
25858158,99,252,350,350
25858825,74,208,342,344
25859492,57,212,329,321
25860158,102,251,331,330
25860825,73,209,327,330
25861492,58,213,324,314
25862158,101,248,329,326
25862825,71,210,311,302
25863492,60,211,308,290
25864158,102,247,326,325
25864825,70,212,309,309
25865492,62,213,323,326
25866158,108,257,329,337
25866825,72,203,320,331
25867492,61,213,320,334
25868158,101,248,337,343
25868825,68,214,330,341
25869492,62,210,330,329
25870158,99,245,336,337
25870825,72,221,335,341
25871492,63,208,340,343
25872158,98,244,352,365
25872825,72,220,353,363
25873492,62,209,350,350
25874158,98,245,358,357
25874825,73,217,349,347
25875492,59,212,330,333
25876158,99,243,341,334
25876825,74,217,325,327
25877492,58,213,318,316
25878158,102,241,330,325
25878825,72,212,318,325
25879492,58,213,308,296
25880158,103,240,318,323
25880825,70,220,306,319
25881492,60,211,308,305
25882158,107,232,327,347
25882825,68,221,326,337
25883492,62,210,324,336
25884158,101,240,329,337
25884825,69,220,325,337
25885492,63,209,325,337
25886158,100,241,335,339
25886825,72,221,330,339
25887492,63,209,333,335
25888158,100,242,345,354
25888825,77,221,355,359
25889492,63,205,349,364
25890158,92,243,349,359
25890825,72,221,349,345
25891492,62,206,335,342
25892158,98,244,345,337
25892825,73,217,331,333
25893492,60,210,322,322
25894158,100,245,331,326
25894825,74,217,323,324
25895492,60,212,320,321
25896158,100,245,313,310
25896825,73,216,306,307
25897492,58,210,306,301
25898158,100,239,317,306
25898825,72,217,316,333
25899492,67,209,328,332
25900158,108,243,331,336
25900825,71,219,323,339
25901492,60,211,325,334
25902158,102,240,341,340
25902825,69,220,330,339
25903492,61,211,328,339
25904158,102,240,340,349
25904825,69,221,338,351
25905492,63,208,350,362
25906158,100,240,354,367
25906825,68,223,353,356
25907492,62,206,351,354
25908158,98,241,352,351
25908825,72,221,339,339
25909492,63,206,331,337
25910158,98,245,329,328
25910825,73,219,327,328
25911492,60,208,322,327
25912158,98,245,323,303
25912825,73,219,319,318
25913492,59,209,303,306
25914158,100,245,314,306
25914825,74,219,315,309
25915492,58,211,318,338
25916158,100,249,322,330
25916825,72,218,330,337
25917492,57,210,318,328
25918158,113,255,331,341
25918825,72,215,325,342
25919492,56,212,338,338
25920158,102,241,339,341
25920825,71,219,336,347
25921492,57,213,345,355
25922158,103,240,355,361
25922825,70,221,350,361
25923492,59,211,356,356
25924158,105,242,352,351
25924825,69,223,348,345
25925492,61,210,339,336
25926158,99,241,331,338
25926825,68,222,323,323
25927492,62,209,331,324
25928158,100,242,323,314
25928825,68,221,318,315
25929492,61,208,317,303
25930158,99,243,314,302
25930825,71,221,317,302
25931492,62,208,311,318
25932158,99,243,321,342
25932825,73,220,319,325
25933492,62,208,331,339
25934158,98,249,330,333
25934825,68,211,325,343
25935492,61,210,335,343
25936158,98,244,333,336
25936825,73,217,328,339
25937492,59,212,334,347
25938158,100,244,346,359
25938825,74,217,357,359
25939492,57,211,353,366
25940158,101,244,367,356
25940825,71,215,346,357
25941492,58,215,344,338
25942158,102,241,342,342
25942825,72,221,326,334
25943492,59,213,328,330
25944158,101,242,331,327
25944825,70,221,330,331
25945492,62,213,324,328
25946158,102,240,315,319
25946825,69,223,314,302
25947492,62,211,315,327
25948158,100,240,313,319
25948825,69,220,325,332
25949492,62,210,331,337
25950158,100,243,335,345
25950825,72,220,319,329
25951492,62,208,333,348
25952158,96,244,330,335
25952825,72,224,343,335
25953492,63,209,336,341
25954158,98,243,339,345
25954825,75,219,342,356
25955492,61,211,353,367
25956158,105,245,355,363
25956825,74,217,359,355
25957492,58,213,346,359
25958158,106,243,347,348
25958825,73,224,335,339
25959492,58,214,331,331
25960158,101,241,332,327
25960825,70,220,318,325
25961492,60,212,323,332
25962158,102,253,322,323
25962825,69,220,310,296
25963492,62,211,315,308
25964158,101,240,312,319
25964825,68,221,314,306
25965492,63,209,323,345
25966158,99,241,321,335
25966825,71,221,329,324
25967492,62,209,327,348
25968158,98,243,336,337
25968825,74,220,338,339
25969492,63,206,334,344
25970158,91,243,333,337
25970825,84,220,339,348
25971492,62,211,339,359
25972158,82,242,357,359
25972825,90,215,354,362
25973492,59,213,348,364
25974158,88,244,354,350
25974825,84,206,339,346
25975492,59,214,344,341
25976158,87,241,321,335
25976825,85,220,321,324
25977492,61,211,330,328
25978158,84,229,325,329
25978825,88,217,320,322
25979492,61,211,311,321
25980158,82,238,311,319
25980825,86,217,313,305
25981492,63,208,315,317
25982158,84,244,324,344
25982825,87,220,323,334
25983492,62,209,319,345
25984158,85,242,338,334
25984825,89,219,337,340
25985492,60,209,327,350
25986158,84,241,333,336
25986825,89,217,335,342
25987492,60,213,332,351
25988158,88,243,347,353
25988825,89,217,349,362
25989492,59,212,359,362
25990158,88,243,357,365
25990825,87,219,348,353
25991492,58,213,339,350
25992158,89,239,342,333
25992825,85,221,327,331
25993492,61,212,332,329
25994158,87,241,326,330
25994825,83,221,323,325
25995492,62,211,319,322
25996158,86,240,314,315
25996825,85,221,312,301
25997492,63,209,315,313
25998158,86,243,307,322
25998825,86,221,328,340
25999492,63,206,329,342
26000158,84,241,326,339
26000825,85,220,331,334
26001492,62,209,330,336
26002158,83,241,331,338
26002825,84,207,327,340
26003492,61,220,329,341
26004158,84,244,339,351
26004825,88,215,346,357
26005492,63,210,351,364
26006158,84,241,354,356
26006825,90,225,348,349
26007492,60,212,346,347
26008158,82,237,353,349
26008825,87,225,342,339
26009492,59,201,330,333
26010158,86,233,329,327
26010825,89,229,325,329
26011492,58,213,322,329
26012158,88,231,319,322
26012825,86,230,310,302
