NOISE FLOOR (additive electronics/pickup floor), measured in verified carrier-free bands
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
BPW34_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    1258.2         6.367e-04       1.7      1.07     yes
    2358.2         6.383e-04       2.8      1.07     yes
     965.0         6.500e-04       1.0      1.02     yes
    1660.8         6.501e-04       1.1      1.00     yes
    2085.0         6.526e-04       5.0      1.00     yes
    2332.0         6.557e-04       1.6      1.06     yes
    2467.0         6.563e-04       2.1      1.02     yes
    1838.0         6.597e-04       2.9      1.12     yes
    2062.0         6.639e-04       2.5      1.09     yes
    1031.0         6.730e-04       1.2      1.13     yes
    1755.2         6.741e-04       1.9      1.00     yes
     761.2         6.837e-04       2.3      1.08     yes
    2383.2         6.854e-04       4.6      1.05     yes
    1188.8         6.898e-04       1.6      1.08     yes
    2310.2         6.914e-04       1.1      1.00     yes
     919.0         6.986e-04       4.7      1.01     yes
     892.2         6.992e-04       1.3      1.00     yes
    1166.0         7.003e-04       1.5      1.00     yes
    2286.0         7.031e-04       4.3      1.00     yes
     830.0         7.035e-04       2.0      1.04     yes
    1278.0         7.039e-04       2.7      1.06     yes
    1306.2         7.043e-04       2.7      1.00     yes
     809.2         7.046e-04       1.4      1.11     yes
    1115.8         7.077e-04       1.3      1.06     yes
     940.2         7.080e-04       4.3      1.01     yes
    1919.2         7.103e-04       5.0      1.15     yes
    1884.0         7.132e-04       1.5      1.04     yes
    2192.8         7.152e-04       0.7      1.00     yes
    2131.0         7.155e-04       1.2      1.22     yes
    1294.8         7.180e-04       1.6      1.00     yes
    2240.8         7.192e-04       1.8      1.03     yes
     874.5         7.233e-04       1.2      1.15     yes
    1458.8         7.237e-04       3.2      1.00     yes
    1992.2         7.245e-04      19.6      1.00     NO*
    1077.0         7.254e-04       1.2      1.02     yes
    1681.5         7.291e-04       1.3      1.00     yes
    2489.2         7.304e-04       1.2      1.00     yes
    1389.2         7.311e-04       1.2      1.04     yes
    1813.2         7.395e-04       0.8      1.05     yes
    1413.0         7.408e-04       1.9      1.00     yes
    1057.8         7.424e-04       1.7      1.00     yes
    2028.8         7.451e-04       6.5      1.03     NO*
    1973.0         7.456e-04       6.0      1.07     yes
    1543.2         7.464e-04       1.1      1.00     yes
    1094.2         7.468e-04       0.6      1.00     yes
    1772.0         7.470e-04       5.8      1.05     yes
    2421.0         7.479e-04       3.1      1.03     yes
    1140.8         7.509e-04       0.7      1.01     yes
    1743.8         7.555e-04       0.6      1.00     yes
    1525.0         7.575e-04       3.3      1.07     yes
    1367.0         7.584e-04       1.1      1.01     yes
    1331.2         7.623e-04       5.1      1.04     yes
     784.0         7.769e-04       2.8      1.04     yes
     633.8         7.773e-04       4.7      1.02     yes
    1726.0         7.781e-04       4.7      1.05     yes
     672.0         7.801e-04       5.2      1.06     yes
     471.0         7.807e-04       1.2      1.10     yes
    2174.0         7.940e-04       4.4      1.02     yes
     583.0         7.970e-04       2.1      1.00     yes
    1944.2         7.978e-04       3.8      1.00     yes
    1791.8         8.061e-04       1.8      1.04     yes
     491.2         8.063e-04       1.2      1.01     yes
     608.8         8.124e-04       1.2      1.09     yes
     313.0         8.190e-04       1.6      1.13     yes
    1861.2         8.204e-04       7.4      1.34     NO*
     560.8         8.227e-04       2.1      1.04     yes
    1479.0         8.239e-04       5.3      1.04     yes
    1569.5         8.241e-04       1.0      1.12     yes
     527.0         8.286e-04       3.8      1.03     yes
     655.2         8.299e-04       2.3      1.00     yes
    1707.2         8.307e-04       1.0      1.00     yes
     691.8         8.322e-04       3.1      1.20     yes
    1506.8         8.377e-04       1.3      1.00     yes
    1614.0         8.414e-04       1.2      1.00     yes
     739.8         8.559e-04       1.6      1.09     yes
    1955.8         8.585e-04       1.6      1.00     yes
     718.0         8.961e-04       1.6      1.15     yes
     336.0         9.051e-04       1.0      1.00     yes
    2156.2         9.336e-04       1.5      1.00     yes
     290.8         9.378e-04       1.4      1.01     yes
     382.0         9.512e-04       1.0      1.02     yes
     242.8         9.833e-04       2.0      1.00     yes
     360.2         9.862e-04       1.4      1.05     yes
     224.0         9.984e-04       1.5      1.02     yes
      27.2         1.001e-03       1.3      1.00     yes
     270.0         1.009e-03       2.1      1.04     yes
     135.0         1.034e-03       1.5      1.20     yes
     194.8         1.095e-03       1.8      1.00     yes
     206.2         1.191e-03       0.3      1.00     yes
     179.5         1.231e-03       3.2      1.14     yes
     159.8         1.269e-03       0.9      1.03     yes
     112.0         1.276e-03       1.3      1.06     yes
      42.2         1.370e-03       1.5      1.00     yes
    1009.8         1.508e-03      14.1      1.82     NO*
