FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
BPW34_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
     965.0         4.036e-04       6.1      1.18     NO*
    2286.0         4.041e-04       7.2      1.01     NO*
    1115.8         4.049e-04       1.5      1.18     yes
    1660.8         4.074e-04       1.3      1.00     yes
     857.2         4.075e-04       1.5      1.00     yes
    2383.2         4.088e-04      11.2      1.21     NO*
     336.0         4.093e-04       1.5      1.03     yes
     761.2         4.101e-04      12.2      1.05     NO*
    2310.2         4.102e-04       3.2      1.06     yes
     583.0         4.143e-04       4.3      1.00     yes
     784.0         4.158e-04      13.2      1.07     NO*
     809.2         4.187e-04       1.6      1.02     yes
    1458.8         4.233e-04       1.9      1.00     yes
     633.8         4.237e-04       1.1      1.04     yes
    2192.8         4.244e-04       2.1      1.00     yes
    1222.0         4.261e-04       1.5      1.00     yes
    1258.2         4.277e-04       5.6      1.01     yes
    2174.0         4.323e-04       2.7      1.03     yes
     655.2         4.328e-04       0.8      1.00     yes
     986.5         4.347e-04       1.2      1.08     yes
    1367.0         4.348e-04       1.7      1.01     yes
    1188.8         4.380e-04       1.4      1.03     yes
     718.0         4.403e-04      11.5      1.11     NO*
     830.0         4.445e-04       8.2      1.00     NO*
    1031.0         4.470e-04      10.6      1.06     NO*
    1543.2         4.489e-04       1.7      1.00     yes
    2240.8         4.497e-04       1.8      1.21     yes
     874.5         4.526e-04       3.5      1.02     yes
    1278.0         4.580e-04       5.8      1.01     yes
     560.8         4.585e-04       1.1      1.06     yes
    1009.8         4.606e-04       8.0      1.01     NO*
     527.0         4.624e-04      19.7      1.12     NO*
    1166.0         4.626e-04       2.4      1.09     yes
    1707.2         4.655e-04       2.4      1.00     yes
    1569.5         4.689e-04       1.2      1.17     yes
