FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
BPW34_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    2131.0         2.055e-04       1.6      1.01     yes
    2467.0         2.099e-04       2.1      1.00     yes
    1838.0         2.185e-04       5.0      1.10     yes
    2240.8         2.204e-04       5.7      1.04     yes
    1331.2         2.231e-04      10.0      1.03     NO*
    1258.2         2.244e-04       5.7      1.21     yes
    2174.0         2.296e-04      10.6      1.12     NO*
    2062.0         2.309e-04       5.6      1.11     yes
    1140.8         2.320e-04       4.8      1.08     yes
    2332.0         2.335e-04       3.4      1.13     yes
    1436.0         2.353e-04       2.8      1.04     yes
    2383.2         2.357e-04       8.5      1.02     NO*
    2358.2         2.366e-04       4.3      1.04     yes
    2085.0         2.392e-04      10.0      1.00     NO*
    1367.0         2.393e-04       1.6      1.04     yes
    1919.2         2.401e-04      11.0      1.27     NO*
    1389.2         2.445e-04       1.4      1.03     yes
    2441.2         2.459e-04       4.8      1.07     yes
     830.0         2.465e-04       3.5      1.05     yes
    1543.2         2.489e-04       1.2      1.00     yes
    1726.0         2.502e-04       8.1      1.07     NO*
     919.0         2.503e-04      16.2      1.09     NO*
    2156.2         2.526e-04       5.4      1.00     yes
    2028.8         2.526e-04       9.5      1.06     NO*
    1660.8         2.528e-04       2.1      1.04     yes
    1077.0         2.537e-04       2.2      1.09     yes
    1772.0         2.539e-04       7.2      1.09     NO*
    1222.0         2.555e-04       8.1      1.18     NO*
    1166.0         2.591e-04       1.2      1.04     yes
    2264.5         2.598e-04       2.1      1.11     yes
    1306.2         2.599e-04       2.6      1.00     yes
    1743.8         2.602e-04       2.0      1.00     yes
    1294.8         2.619e-04       3.2      1.00     yes
    1525.0         2.647e-04       5.5      1.08     yes
    2286.0         2.673e-04       8.7      1.10     NO*
     892.2         2.676e-04       2.0      1.00     yes
     965.0         2.680e-04       1.3      1.03     yes
    1884.0         2.681e-04       1.9      1.01     yes
    1115.8         2.683e-04       5.9      1.17     yes
     761.2         2.697e-04       1.4      1.07     yes
    2109.8         2.699e-04       1.4      1.18     yes
    1944.2         2.719e-04       5.2      1.00     yes
    1413.0         2.724e-04       1.0      1.07     yes
    1755.2         2.729e-04       0.8      1.00     yes
     857.2         2.743e-04       0.6      1.00     yes
    1637.0         2.753e-04       2.2      1.04     yes
    1791.8         2.794e-04       1.3      1.21     yes
     739.8         2.806e-04       1.4      1.01     yes
    1094.2         2.811e-04       1.3      1.00     yes
    2310.2         2.828e-04       3.4      1.01     yes
    1707.2         2.835e-04       0.8      1.00     yes
    2489.2         2.848e-04       2.0      1.18     yes
    1589.8         2.873e-04       1.2      1.08     yes
    1681.5         2.908e-04       1.0      1.02     yes
    1458.8         2.923e-04       5.3      1.11     yes
    2192.8         2.933e-04       3.1      1.00     yes
    1188.8         2.966e-04       3.8      1.12     yes
    1973.0         2.993e-04       8.8      1.04     NO*
    2220.0         3.015e-04      10.4      1.34     NO*
    1813.2         3.058e-04       1.6      1.24     yes
     940.2         3.066e-04      16.2      1.15     NO*
     784.0         3.076e-04       5.4      1.00     yes
    1479.0         3.084e-04       9.3      1.15     NO*
     874.5         3.099e-04       2.0      1.06     yes
    1569.5         3.151e-04       1.8      1.12     yes
     471.0         3.163e-04       2.5      1.08     yes
    1955.8         3.169e-04       2.1      1.00     yes
    1031.0         3.176e-04       3.2      1.00     yes
    1057.8         3.245e-04       3.6      1.00     yes
    1614.0         3.246e-04       3.1      1.07     yes
     809.2         3.314e-04       2.4      1.08     yes
     672.0         3.414e-04       8.2      1.05     NO*
     382.0         3.475e-04       1.3      1.11     yes
    1278.0         3.536e-04      21.1      1.74     NO*
    1992.2         3.553e-04      20.2      1.00     NO*
    1506.8         3.571e-04       1.4      1.00     yes
     290.8         3.676e-04       1.0      1.00     yes
     718.0         3.679e-04       2.7      1.02     yes
     527.0         3.875e-04       6.8      1.17     NO*
     608.8         3.883e-04       0.8      1.01     yes
     491.2         4.009e-04       3.1      1.05     yes
    2421.0         4.058e-04       9.8      2.12     NO*
     633.8         4.099e-04       6.6      1.03     NO*
     691.8         4.183e-04       2.9      1.10     yes
     270.0         4.233e-04       3.8      1.02     yes
     560.8         4.371e-04       1.3      1.06     yes
     655.2         4.386e-04       2.8      1.00     yes
     242.8         4.520e-04       2.8      1.00     yes
     313.0         4.790e-04       2.4      1.15     yes
     360.2         4.934e-04       2.1      1.04     yes
     224.0         5.003e-04       2.1      1.03     yes
     583.0         5.135e-04       6.8      1.15     NO*
     159.8         5.331e-04       1.7      1.13     yes
     206.2         5.346e-04       1.1      1.00     yes
     336.0         5.485e-04       1.8      1.07     yes
     194.8         5.630e-04       0.7      1.00     yes
