BPW34_2,Inano_1,Inano_2
-0.07284851642654644,-0.11169545957987914,-0.15207303314990694
-0.07393816383335272,-0.11291423258207134,-0.15318129994635754
-0.07502719328419971,-0.1141330902543598,-0.15428112617519174
-0.07611538545681329,-0.11535238495159339,-0.15537303405639902
-0.07720240354861874,-0.11657232351945002,-0.1564573952375361
-0.07828810747919102,-0.11779341819233835,-0.15753495120718197
-0.07937204434104794,-0.11901566056962443,-0.1586057592269845
-0.08045399845766976,-0.1202394599163008,-0.15967044437784317
-0.08153356590581051,-0.12146486209963259,-0.1607291114499776
-0.08261032626000109,-0.12269192514321903,-0.16178192579149986
-0.08368397802661898,-0.1239208524723292,-0.1628292030116696
-0.08475393739756809,-0.12515138060269182,-0.16387066478142254
-0.08581988728091527,-0.12638367869163147,-0.16490660450252248
-0.0868812489477917,-0.1276174262086136,-0.16593664555649879
-0.08793753411817962,-0.12885247516931342,-0.16696067987983865
-0.08898828056800578,-0.1300886449744323,-0.16797851382615336
-0.0900328143218938,-0.13132540678402682,-0.1689895310715448
-0.0910707247854079,-0.13256262572739486,-0.16999362134752083
-0.09210130225539004,-0.13379961766269233,-0.17098994508654242
-0.0931240259552375,-0.1350360132126287,-0.1719781090790562
-0.09413830611716456,-0.13627123906962257,-0.17295741410386922
-0.09514344274134734,-0.13750454222094932,-0.17392696809279107
-0.09613896334177685,-0.13873547667841057,-0.17488625870296293
-0.09712410033882524,-0.13996306293496685,-0.17583408311485593
-0.09809835149555468,-0.14118674118459618,-0.17676980899529493
-0.09906106134559911,-0.1424056061479404,-0.17769232163822402
-0.1000115827734196,-0.14361876849307054,-0.1786005709719607
-0.10094943232618636,-0.14482552199090737,-0.1794937159139569
-0.10187387624021493,-0.14602471539664075,-0.1803703553797118
-0.10278448957856501,-0.1472156701359335,-0.18122971235715646
-0.10368063177770637,-0.14839726850253987,-0.18207041679476754
-0.10456178957491158,-0.1495686043838944,-0.18289141332990555
-0.10542752961395774,-0.1507288094722239,-0.18369166167744932
-0.10627724690902651,-0.15187671852512485,-0.18446976437613438
-0.10711064924937963,-0.15301163190876022,-0.18522492313098748
-0.10792719574677756,-0.15413237604432828,-0.18595571363399443
-0.10872657507414463,-0.15523815725583123,-0.18666123468323903
-0.10950846257654945,-0.15632807102205737,-0.18734040653962492
